Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,CFAR_Category_Adoption_Rate_%,FMI_Fleet_Modernization_Index_%,Is_Transitional_BS4_2020
MP-04-FY-9017,2019-12-13,2019,Madhya Pradesh,Bhopal (MP-04),2W,Scooter,Bajaj,Petrol,BS4,101.4,2,5,40.43,85.11,0
KA-22-GY-9034,2020-01-14,2020,Karnataka,Belgaum (KA-22),2W,Motorcycle,Honda,Petrol,BS4,400.0,2,4,49.39,91.46,1
DL-09-HY-9051,2023-03-23,2023,Delhi,Delhi South (DL-09),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,1,39.39,90.3,0
RJ-20-IY-9068,2021-06-26,2021,Rajasthan,Kota (RJ-20),2W,Scooter,Honda,Petrol,BS6,160.0,2,3,48.41,92.86,0
GJ-01-JY-9085,2022-11-14,2022,Gujarat,Ahmedabad (GJ-01),4W,Hatchback,Honda,Petrol,BS6,1598.0,5,2,35.37,95.12,0
KL-01-KY-9102,2024-07-13,2024,Kerala,Thiruvananthapuram (KL-01),2W,Motorcycle,Royal Enfield,Petrol,BS6,160.0,2,0,44.63,96.69,0
WB-40-LY-9119,2021-11-29,2021,West Bengal,Durgapur (WB-40),2W,Scooter,Bajaj,Petrol,BS6,110.0,2,3,39.16,92.31,0
PB-10-MY-9136,2021-12-20,2021,Punjab,Ludhiana (PB-10),4W,Sedan,Tata Motors,Diesel,BS6,1462.0,5,3,28.17,87.32,0
MP-07-NY-9153,2023-05-18,2023,Madhya Pradesh,Gwalior (MP-07),LCV,Mini Truck,Mahindra,Diesel,BS6,2523.0,2,1,37.5,83.33,0
PB-02-OY-9170,2022-03-14,2022,Punjab,Amritsar (PB-02),2W,Scooter,Suzuki,EV,Not Applicable,0.0,2,2,41.51,90.57,0
KL-02-PY-9187,2021-09-18,2021,Kerala,Kollam (KL-02),4W,SUV,Skoda,Diesel,BS6,2179.0,5,3,24.55,90.0,0
MH-01-QY-9204,2019-11-02,2019,Maharashtra,Mumbai Central (MH-01),2W,Motorcycle,Suzuki,EV,Not Applicable,0.0,2,5,50.93,95.37,0
TS-05-RY-9221,2024-05-16,2024,Telangana,Nizamabad (TS-05),OTH,Tractor,Mahindra,Diesel,BS6,5660.0,2,0,0.0,75.0,0
GJ-03-SY-9238,2023-02-24,2023,Gujarat,Rajkot (GJ-03),2W,Motorcycle,Royal Enfield,EV,Not Applicable,0.0,2,1,41.43,92.86,0
MP-13-TY-9255,2020-09-28,2020,Madhya Pradesh,Ujjain (MP-13),4W,Sedan,Toyota,Hybrid,BS6,800.0,5,4,28.28,85.86,0
WB-01-UY-9272,2018-02-10,2018,West Bengal,Kolkata (WB-01),2W,Motorcycle,Royal Enfield,Petrol,BS4,110.0,2,6,39.16,92.31,0
KL-08-VY-9289,2022-03-26,2022,Kerala,Thrissur (KL-08),4W,Sedan,Tata Motors,EV,Not Applicable,0.0,5,2,24.55,90.0,0
DL-09-WY-9306,2024-07-10,2024,Delhi,Delhi South (DL-09),4W,SUV,Kia,Diesel,BS6,2179.0,5,0,22.58,88.17,0
KA-09-XY-9323,2022-04-23,2022,Karnataka,Mysore (KA-09),2W,Scooter,Hero,EV,Not Applicable,0.0,2,2,49.39,91.46,0
KA-01-YY-9340,2022-12-09,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Yamaha,Petrol,BS6,350.0,2,2,49.39,91.46,0
DL-09-ZY-9357,2022-07-27,2022,Delhi,Delhi South (DL-09),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,2,39.39,90.3,0
KA-01-AZ-9374,2022-01-28,2022,Karnataka,Bangalore Central (KA-01),4W,SUV,Honda,Diesel,BS6,1000.0,5,2,25.89,89.29,0
UP-80-BZ-9391,2020-03-12,2020,Uttar Pradesh,Agra (UP-80),4W,SUV,Mahindra,Petrol,BS4,1968.0,5,4,19.75,88.89,1
GJ-03-CZ-9408,2019-10-04,2019,Gujarat,Rajkot (GJ-03),2W,Motorcycle,KTM,EV,Not Applicable,0.0,2,5,41.43,92.86,0
KA-09-DZ-9425,2024-03-25,2024,Karnataka,Mysore (KA-09),2W,Motorcycle,KTM,Petrol,BS6,250.0,2,0,49.39,91.46,0
MH-15-EZ-9442,2023-10-12,2023,Maharashtra,Nashik (MH-15),2W,Motorcycle,Royal Enfield,Petrol,BS6,121.0,2,1,50.93,95.37,0
TN-37-FZ-9459,2022-06-10,2022,Tamil Nadu,Coimbatore (TN-37),2W,Motorcycle,Ola Electric,EV,Not Applicable,0.0,2,2,44.68,95.74,0
MH-20-GZ-9476,2024-04-05,2024,Maharashtra,Aurangabad (MH-20),3W,Tempo,Piaggio,CNG,BS6,200.0,4,0,87.5,87.5,0
KA-09-HZ-9493,2022-02-11,2022,Karnataka,Mysore (KA-09),2W,Moped,Bajaj,EV,Not Applicable,0.0,2,2,49.39,91.46,0
MP-13-IZ-9510,2023-05-03,2023,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Kia,Petrol,BS6,1498.0,7,1,28.28,85.86,0
TN-58-JZ-9527,2023-02-21,2023,Tamil Nadu,Madurai (TN-58),3W,Auto Rickshaw,Bajaj,Diesel,BS6,200.0,4,1,82.14,96.43,0
DL-09-KZ-9544,2021-08-13,2021,Delhi,Delhi South (DL-09),2W,Scooter,Honda,Petrol,BS6,115.3,2,3,39.39,90.3,0
KL-11-LZ-9561,2024-03-09,2024,Kerala,Kozhikode (KL-11),4W,Hatchback,Renault,Petrol,BS6,1498.0,5,0,24.55,90.0,0
KA-22-MZ-9578,2023-12-18,2023,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,1,49.39,91.46,0
TS-01-NZ-9595,2022-01-24,2022,Telangana,Karimnagar (TS-01),2W,Motorcycle,Honda,EV,Not Applicable,0.0,2,2,40.8,92.8,0
RJ-19-OZ-9612,2022-08-08,2022,Rajasthan,Jodhpur (RJ-19),4W,SUV,Tata Motors,Hybrid,BS6,1480.0,5,2,26.0,89.0,0
KA-01-PZ-9629,2023-10-10,2023,Karnataka,Bangalore Central (KA-01),HCV,Bus,Eicher,Diesel,BS6,4998.0,45,1,0.0,96.15,0
TN-01-QZ-9646,2023-02-22,2023,Tamil Nadu,Chennai Central (TN-01),2W,Motorcycle,Yamaha,Petrol,BS6,200.0,2,1,44.68,95.74,0
TS-01-RZ-9663,2024-07-30,2024,Telangana,Karimnagar (TS-01),OTH,Tractor,TAFE,Diesel,BS6,3760.0,2,0,0.0,75.0,0
KL-11-SZ-9680,2020-02-25,2020,Kerala,Kozhikode (KL-11),4W,MUV,Mahindra,Petrol,BS4,1968.0,5,4,24.55,90.0,1
WB-13-TZ-9697,2023-04-25,2023,West Bengal,Howrah (WB-13),2W,Scooter,Yamaha,Petrol,BS6,100.0,2,1,39.16,92.31,0
MP-09-UZ-9714,2021-09-18,2021,Madhya Pradesh,Indore (MP-09),2W,Scooter,Honda,Petrol,BS6,250.0,2,3,40.43,85.11,0
MP-13-VZ-9731,2020-01-20,2020,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,Honda,Petrol,BS4,110.0,2,4,40.43,85.11,1
PB-08-WZ-9748,2024-07-16,2024,Punjab,Jalandhar (PB-08),2W,Scooter,Suzuki,EV,Not Applicable,0.0,2,0,41.51,90.57,0
DL-08-XZ-9765,2024-12-17,2024,Delhi,Delhi West (DL-08),2W,Scooter,Hero,EV,Not Applicable,0.0,2,0,39.39,90.3,0
RJ-27-YZ-9782,2021-06-03,2021,Rajasthan,Udaipur (RJ-27),2W,Moped,Yamaha,EV,Not Applicable,0.0,2,3,48.41,92.86,0
GJ-03-ZZ-9799,2019-12-07,2019,Gujarat,Rajkot (GJ-03),2W,Motorcycle,Royal Enfield,EV,Not Applicable,0.0,2,5,41.43,92.86,0
MP-09-AA-9816,2023-05-27,2023,Madhya Pradesh,Indore (MP-09),4W,SUV,Honda,CNG,BS6,1462.0,7,1,28.28,85.86,0
PB-11-BA-9833,2023-08-31,2023,Punjab,Patiala (PB-11),4W,MUV,MG,Diesel,BS6,1197.0,5,1,28.17,87.32,0
GJ-18-CA-9850,2020-04-25,2020,Gujarat,Gandhinagar (GJ-18),4W,SUV,Hyundai,Hybrid,BS6,1462.0,7,4,35.37,95.12,0
MH-01-DA-9867,2022-11-19,2022,Maharashtra,Mumbai Central (MH-01),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,2,50.93,95.37,0
DL-04-EA-9884,2023-02-24,2023,Delhi,Delhi North (DL-04),3W,Auto Rickshaw,Piaggio,EV,Not Applicable,0.0,4,1,89.47,94.74,0
TN-45-FA-9901,2022-12-08,2022,Tamil Nadu,Trichy (TN-45),3W,Tempo,Piaggio,CNG,BS6,250.0,4,2,82.14,96.43,0
PB-11-GA-9918,2023-08-19,2023,Punjab,Patiala (PB-11),2W,Motorcycle,KTM,Petrol,BS6,101.7,2,1,41.51,90.57,0
DL-08-HA-9935,2022-05-27,2022,Delhi,Delhi West (DL-08),4W,MUV,Mahindra,Petrol,BS6,1462.0,7,2,22.58,88.17,0
RJ-20-IA-9952,2020-03-19,2020,Rajasthan,Kota (RJ-20),LCV,Mini Truck,Mahindra,Diesel,BS4,2956.0,2,4,40.91,72.73,1
UP-65-JA-9969,2020-07-18,2020,Uttar Pradesh,Varanasi (UP-65),2W,Scooter,Suzuki,Petrol,BS6,160.0,2,4,47.06,91.91,0
KL-01-KA-9986,2018-06-02,2018,Kerala,Thiruvananthapuram (KL-01),LCV,Light Bus,Force Motors,Diesel,BS4,2956.0,12,6,32.35,94.12,0
TS-07-LA-1003,2021-01-15,2021,Telangana,Khammam (TS-07),4W,SUV,MG,Petrol,BS6,1968.0,5,3,25.47,92.45,0
MP-20-MA-1020,2022-10-31,2022,Madhya Pradesh,Jabalpur (MP-20),4W,MUV,Tata Motors,CNG,BS6,800.0,5,2,28.28,85.86,0
MP-20-NA-1037,2021-04-19,2021,Madhya Pradesh,Jabalpur (MP-20),2W,Scooter,TVS,Petrol,BS6,119.0,2,3,40.43,85.11,0
RJ-20-OA-1054,2024-05-09,2024,Rajasthan,Kota (RJ-20),4W,MUV,Kia,Hybrid,BS6,1000.0,7,0,26.0,89.0,0
MH-20-PA-1071,2019-01-21,2019,Maharashtra,Aurangabad (MH-20),2W,Scooter,Bajaj,EV,Not Applicable,0.0,2,5,50.93,95.37,0
DL-02-QA-1088,2019-02-28,2019,Delhi,Delhi East (DL-02),LCV,Light Bus,Mahindra,Diesel,BS4,2956.0,12,5,30.77,92.31,0
KL-11-RA-1105,2024-02-28,2024,Kerala,Kozhikode (KL-11),4W,Sedan,Skoda,CNG,BS6,1197.0,5,0,24.55,90.0,0
