Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,is_clean,is_compliant,CFAR,FMI
REG100001,13-12-2019,2019,Madhya Pradesh,Bhopal (MP-04),2W,Scooter,Bajaj,Petrol,BS4,400.0,2,5,False,False,44.44444444444444,7.4074074074074066
REG100002,14-01-2020,2020,Karnataka,Belgaum (KA-22),2W,Motorcycle,Honda,Petrol,BS6,400.0,2,4,False,True,37.5,83.33333333333334
REG100003,23-03-2023,2023,Karnataka,Delhi South (DL-09),2W,Scooter,Ola Electric,Petrol,BS6,250.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100004,26-06-2021,2021,Karnataka,Kota (RJ-20),2W,Scooter,Honda,Petrol,BS6,160.0,2,3,False,True,32.88590604026846,94.63087248322147
REG100005,13-11-2022,2022,Karnataka,Ahmedabad (GJ-01),4W,Hatchback,Honda,Petrol,BS6,1598.0,5,2,False,True,43.333333333333336,96.66666666666667
REG100006,13-07-2024,2024,Karnataka,Thiruvananthapuram (KL-01),2W,Motorcycle,Royal Enfield,Petrol,BS6,160.0,2,0,False,True,41.29032258064516,100.0
REG100007,28-11-2021,2021,Karnataka,Durgapur (WB-40),2W,Scooter,Bajaj,CNG,BS6,110.0,2,3,True,True,32.88590604026846,94.63087248322147
REG100008,19-12-2021,2021,Karnataka,Ludhiana (PB-10),4W,Sedan,Tata Motors,Diesel,BS6,1462.0,5,3,False,True,32.88590604026846,94.63087248322147
REG100009,18-05-2023,2023,Karnataka,Gwalior (MP-07),LCV,Mini Truck,Mahindra,Diesel,BS6,2523.0,9,1,False,True,37.17948717948718,99.14529914529915
REG100010,13-03-2022,2022,Karnataka,Amritsar (PB-02),2W,Scooter,Suzuki,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100011,18-09-2021,2021,Karnataka,Kollam (KL-02),4W,MUV,Skoda,Diesel,BS6,2179.0,5,3,False,True,32.88590604026846,94.63087248322147
REG100012,02-11-2019,2019,Karnataka,Mumbai Central (MH-01),2W,Motorcycle,Suzuki,EV,BS4,0.0,2,5,True,False,31.32530120481928,9.63855421686747
REG100013,16-05-2024,2024,Karnataka,Nizamabad (TS-05),OTH,Tractor,Mahindra,Diesel,BS6,5660.0,1,0,False,True,41.29032258064516,100.0
REG100014,24-02-2023,2023,Karnataka,Rajkot (GJ-03),2W,Motorcycle,Royal Enfield,EV,BS6,0.0,2,1,True,True,37.17948717948718,99.14529914529915
REG100015,28-09-2020,2020,Karnataka,Ujjain (MP-13),4W,Sedan,Toyota,Hybrid,BS4,800.0,5,4,True,False,37.5,83.33333333333334
REG100016,10-02-2018,2018,Karnataka,Kolkata (WB-01),2W,Scooter,Royal Enfield,Petrol,BS4,110.0,2,6,False,False,40.74074074074074,0.0
REG100017,26-03-2022,2022,Karnataka,Thrissur (KL-08),4W,Sedan,Tata Motors,EV,BS6,0.0,5,2,True,True,43.333333333333336,96.66666666666667
REG100018,10-07-2024,2024,Karnataka,Delhi South (DL-09),4W,Sedan,Kia,Diesel,BS6,2179.0,5,0,False,True,41.29032258064516,100.0
REG100019,23-04-2022,2022,Karnataka,Mysore (KA-09),2W,Scooter,Hero,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100020,09-12-2022,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Yamaha,Petrol,BS6,350.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100021,27-07-2020,2020,Karnataka,Delhi South (DL-09),2W,Moped,Ola Electric,EV,BS6,0.0,2,4,True,True,37.5,83.33333333333334
REG100022,28-01-2022,2022,Karnataka,Bangalore Central (KA-01),4W,SUV,Honda,Diesel,BS6,1000.0,5,2,False,True,43.333333333333336,96.66666666666667
REG100023,12-03-2020,2020,Karnataka,Agra (UP-80),4W,Hatchback,Mahindra,Petrol,BS6,1968.0,5,4,False,True,37.5,83.33333333333334
REG100024,04-10-2019,2019,Karnataka,Rajkot (GJ-03),2W,Motorcycle,KTM,EV,BS4,0.0,2,5,True,False,31.32530120481928,9.63855421686747
REG100025,25-03-2024,2024,Karnataka,Mysore (KA-09),2W,Scooter,KTM,Petrol,BS6,250.0,2,0,False,True,41.29032258064516,100.0
REG100026,12-10-2023,2023,Karnataka,Nashik (MH-15),2W,Scooter,Royal Enfield,Petrol,BS6,350.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100027,10-06-2022,2022,Karnataka,Coimbatore (TN-37),2W,Motorcycle,Ola Electric,CNG,BS6,100.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100028,05-04-2024,2024,Karnataka,Aurangabad (MH-20),3W,Tempo,Piaggio,CNG,BS6,200.0,7,0,True,True,41.29032258064516,100.0
REG100029,11-02-2022,2022,Karnataka,Mysore (KA-09),2W,Moped,Bajaj,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100030,03-05-2023,2023,Karnataka,Ujjain (MP-13),4W,SUV,Kia,Petrol,BS6,1498.0,8,1,False,True,37.17948717948718,99.14529914529915
REG100031,21-02-2023,2023,Karnataka,Madurai (TN-58),3W,Auto Rickshaw,Bajaj,Diesel,BS6,200.0,7,1,False,True,37.17948717948718,99.14529914529915
REG100032,13-08-2021,2021,Karnataka,Delhi South (DL-09),2W,Scooter,Honda,Petrol,BS6,400.0,2,3,False,True,32.88590604026846,94.63087248322147
REG100033,09-03-2024,2024,Karnataka,Kozhikode (KL-11),4W,Hatchback,Renault,Petrol,BS6,1498.0,5,0,False,True,41.29032258064516,100.0
REG100034,18-12-2023,2023,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,Petrol,BS6,160.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100035,23-01-2022,2022,Karnataka,Karimnagar (TS-01),2W,Motorcycle,Honda,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100036,07-08-2022,2022,Karnataka,Jodhpur (RJ-19),4W,SUV,Tata Motors,Hybrid,BS6,1480.0,5,2,True,True,43.333333333333336,96.66666666666667
REG100037,10-10-2023,2023,Karnataka,Bangalore Central (KA-01),HCV,Bus,Eicher,Diesel,BS6,4998.0,45,1,False,True,37.17948717948718,99.14529914529915
REG100038,22-02-2023,2023,Karnataka,Chennai Central (TN-01),2W,Motorcycle,Yamaha,Petrol,BS6,200.0,2,1,False,True,37.17948717948718,99.14529914529915
